Recipe,Link,Time (min),Ingredient,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,2 tablespoons Thai red curry paste,30.299999999999997,0.504,0.1401,0.0,0.0,2.6999999999999997,7.334999999999999,4.2,,1.668,1425.3,48.029999999999994,121.5,5.234999999999999
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,3/4 cup smooth peanut butter,1344.375,152.08125,96.315,6.14625,403.125,1205.625,0.11249999999999999,0.0,0.11249999999999999,1.59375,4685.625,0.0,45.0,0.0375
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1 cup canned unsweetened coconut milk,802.5,21.75,13.715,,85.0,317.5,136.0,0.0,136.0,19.775,667.5,6.5,710.0,0.475
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1/2 cup (or more) low-salt chicken broth,247.5,5.875,1.5,,16.25,30000.0,29.375,0.0,0.0,18.25,2.5,1.25,237.5,2.3375000000000004
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1 tablespoon sugar,53.1,0.03,0.005399999999999999,,0.0,1.65,13.635,0.0,12.730500000000001,0.015,0.0,0.0,13.5,0.2415
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1 tablespoon soy sauce,35.55,2.73,,,,171.75,0.819,0.255,,1.92,,3.0599999999999996,3.0,0.141
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1/2 teaspoon freshly ground black pepper,6.275,0.0815,0.0348,0.0,0.0,0.5,1.5987500000000001,0.6325000000000001,0.016,0.25975000000000004,13.675,0.0,11.075000000000001,0.24275000000000002
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,2 1/2 tablespoons fresh lime juice,9.375,0.026250000000000002,0.003,0.0,0.0,0.75,3.1574999999999998,0.15000000000000002,0.63375,0.1575,18.75,11.25,5.25,0.03375
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1/2 cup chopped fresh cilantro,28.75,0.65,0.0175,0.0,0.0,57.5,4.5875,3.5,1.0875,2.6624999999999996,8435.0,33.75,83.75,2.2125
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,1 tablespoon red curry paste,15.149999999999999,0.252,0.07005,0.0,0.0,1.3499999999999999,3.6674999999999995,2.1,,0.834,712.65,24.014999999999997,60.75,2.6174999999999997
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,1 13.5-ounce can unsweetend coconut milk,89.88000000000001,2.436,1.5360800000000001,,9.520000000000001,35.56,15.232000000000001,0.0,15.232000000000001,2.2148000000000003,74.76,0.7280000000000001,79.52000000000001,0.053200000000000004
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,1 8-ounce bottle clam juice,24.080000000000002,0.26880000000000004,0.052360000000000004,0.004200000000000001,8.4,168.28000000000003,0.9996,0.0,0.0,4.107600000000001,84.00000000000001,0.0,10.920000000000002,0.45360000000000006
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,"1 1/4 pounds uncooked large shrimp, peeled, deveined",566.99,7.711064,1.0659412,,1428.8148,4932.813,0.0,0.0,0.0,115.77935800000002,0.0,23.246589999999998,822.1355,12.076887
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,1/3 cup chopped fresh cilantro,19.166666666666664,0.4333333333333333,0.011666666666666665,0.0,0.0,38.33333333333333,3.058333333333333,2.333333333333333,0.725,1.7749999999999997,5623.333333333333,22.499999999999996,55.83333333333333,1.4749999999999999
Red Curry Shrimp,https://www.bonappetit.com/recipe/red-curry-shrimp,0,"lime, cut into wedges",75.0,0.5,0.05499999999999999,0.0,0.0,5.0,26.349999999999998,7.0,4.225,1.75,125.0,72.75,82.5,1.5
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,3 large red bell peppers,232.5,2.25,0.20249999999999999,0.0,0.0,30.0,45.225,15.75,31.5,7.425,23482.5,957.75,52.5,3.225
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,2 1/2 tablespoons white wine vinegar,7.125,0.0,0.0,0.0,,3.0,0.10125,0.0,0.0,0.015,0.0,0.1875,2.25,0.16875
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,"4 garlic cloves, crushed",164.4,7.8,2.3712,0.1524,0.0,166.2,39.318,20.34,1.428,3.582,96.0,0.12,379.2,7.098
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,"2 red jalapeños or Fresno chiles, stemmed, seeded, chopped",675.84,7.3919999999999995,1.584,0.792,0.0,1367.52,127.776,17.424,8.184000000000001,0.026400000000000003,0.0,0.0,187.44,7.3919999999999995
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,1 teaspoon ground cumin,18.75,1.1135,0.07675,,0.0,8.4,2.212,0.525,0.1125,0.8905,63.5,0.385,46.550000000000004,3.318
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,1 teaspoon kosher salt plus more for seasoning,0.0,0.0,0.0,0.0,0.0,1937.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0165
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,1/4 teaspoon freshly ground black pepper plus more for seasoning,3.1375,0.04075,0.0174,0.0,0.0,0.25,0.7993750000000001,0.31625000000000003,0.008,0.12987500000000002,6.8375,0.0,5.5375000000000005,0.12137500000000001
Red Harissa,https://www.bonappetit.com/recipe/red-harissa,0,1/4 cup extra-virgin olive oil,552.5,62.5,8.979375000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08125
Red Lentil and Vegetable Soup with Chive Yogurt,https://www.bonappetit.com/recipe/red-lentil-and-vegetable-soup-with-chive-yogurt,0,1 tablespoon extra-virgin olive oil,132.6,15.0,2.15505,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195
